check_name,pass,observed,notes
dataset_id,True,comsol_true_3d_rbc_imported_watertight_pilot_v3_240,
route,True,manifest=true_3d_piao_style; registry=true_3d_piao_style,
status,True,manifest=pilot_generated; registry=pilot_generated,
train_ready_candidate,True,True,
baseline_ready_false,True,False,
geometry_method,True,manifest=imported_watertight_mesh_solid; registry=imported_watertight_mesh_solid,
exact_piao_rbc_false,True,False,
rbc_style_approximation_true,True,True,
explicit_training_allowed,True,"['explicit_pilot_training_gate', 'schema_validation']",
baseline_forbidden,True,"['automatic_mainline_training', 'baseline_update', 'current_baseline_replacement', 'direct_training_without_manifest_gate', 'latest_newest_auto_discovery']",
latest_newest_forbidden,True,False,
auto_discovery_forbidden,True,False,
npz_exists,True,C:\Users\19166\Desktop\PINN_project\data\comsol_mfl\prepared\experimental\true_3d_rbc_pilot\comsol_true_3d_rbc_imported_watertight_pilot_v3_240.npz,
npz_sha256,True,6cfd6c4dd32c474dbe4843ac520f541123a54a8f0082a94d3e28d0c8cd196817,
manifest_stage_recorded,True,20.76,Training gates consume already-generated packs; stage records the data generation stage.
sample_count_240,True,240,
split_counts_162_39_39,True,"{'train': 162, 'val': 39, 'test': 39}",
delta_b_shape,True,"[240, 3, 3, 201]",
conv1d_shape,True,"[240, 9, 201]",
rbc_params_shape,True,"[240, 6]",
profile_depth_grid_present,True,"[240, 33, 17]",
profile_depth_map_present,True,"[240, 64, 128]",
projected_mask_present,True,"[240, 64, 128]",
projected_mask_nonempty,True,182652,
axis_names,True,"['Bx', 'By', 'Bz']",
finite_delta_b,True,finite,
finite_rbc_params,True,finite,
train_only_normalization_prepared,True,"{'x_mean': [1, 9, 1], 'y_mean': [1, 6]}",
latest_newest_scan_used,True,False,loader resolves only explicit dataset_id via registry/manifest
numpy_depth_grid_max_abs_error,True,9.313225746154785e-10,true params -> stored profile_depth_grid_m
numpy_depth_grid_mean_rmse,True,2.2635007757010328e-10,RBC-style generator replay
numpy_er_like_mean,True,2.2499814607129306e-07,self-consistency only
numpy_depth_map_max_abs_error,True,9.64064383879304e-10,true params -> stored profile_depth_map_xy_m
numpy_projected_mask_pixel_mismatch,True,0,total_pixels=1966080
torch_depth_grid_max_abs_error_vs_numpy,True,9.313225746154785e-10,torch differentiable generator parity
torch_depth_map_max_abs_error_vs_numpy,True,5.846231942996383e-09,torch differentiable map parity
exact_piao_rbc_false,True,False,"RBC-style approximation, not exact Piao reproduction"
