row_type,model,seed,threshold,area_size_bin,sample_count,mse,mae,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite_metric
overall,current_baseline,baseline,500,all,200,20737.717431030273,44.46552618980408,0.29527204656059736,0.42188540702369665,0.3945174424962079,1.325941887571589,18,158,42,0.32264001108808604
area_bin,current_baseline,baseline,500,large,67,29034.845907182837,59.01942438154078,0.3731726287348154,0.5257433151372933,0.36091840035063205,1.4384541328051197,0,62,5,0.5379975435214767
area_bin,current_baseline,baseline,500,small,67,13855.741179964436,32.28812639037175,0.20224132005907075,0.2929759095978009,0.45479017756706563,1.1933176609186025,15,42,25,0.040427052089806015
area_bin,current_baseline,baseline,500,medium,66,19301.123505563446,42.05302024610115,0.3106314354989266,0.4473165658710301,0.3674396027084214,1.3157536233701403,3,54,12,0.39050839866153525
overall,current_baseline,baseline,600,all,200,20737.717431030273,44.46552618980408,0.3527872048463403,0.49519200219243886,0.4158086906848637,1.2030783821853044,9,80,120,0.43217051635391546
area_bin,current_baseline,baseline,600,large,67,29034.845907182837,59.01942438154078,0.4354394097526094,0.5931654519221716,0.18842747681751326,1.134950082693527,0,40,27,0.8401773848572677
area_bin,current_baseline,baseline,600,small,67,13855.741179964436,32.28812639037175,0.2573118615874586,0.3747820813030669,0.7301792541197699,1.2131146715333065,7,16,51,-0.09808531122924447
area_bin,current_baseline,baseline,600,medium,66,19301.123505563446,42.05302024610115,0.3658046331739916,0.5179684198848011,0.3275013206693146,1.2649911744520068,2,24,42,0.5562717323894781
overall,composite_candidate,42,500,all,200,21158.920775146486,48.59307159423828,0.32168488050746746,0.45370628945969493,0.34750244674310854,1.2120649095057794,16,131,67,0.42788872322405386
area_bin,composite_candidate,42,500,large,67,29400.34230701959,63.06062026522053,0.41846432860765626,0.5763151733968777,0.2509968588182836,1.0977119532094073,0,46,21,0.7437826431862503
area_bin,composite_candidate,42,500,small,67,14569.092930124767,36.96951860456324,0.21470796552294208,0.3117438873101364,0.48258143590351976,1.204856552324205,14,35,32,0.04387041692955873
area_bin,composite_candidate,42,500,medium,66,19482.30294152462,45.7059850692749,0.3320368544658088,0.4733530427965001,0.3083446000342558,1.337747581419535,2,50,14,0.497045297228053
