candidate,seed,split,group_type,group,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,bz_mse,composite,macro_area_composite,avg_polygon_area,invalid_count,out_of_image_count
current_forward_baseline_single_defect_mean,mean,test,area_bin,large,0.8,46,0.4440902725562164,0.5971383118765434,0.19238940582331657,1.0655996598627258,0.0,34.0,12.0,0.11434636366270158,0.8488391786094432,0.5525983214181011,,,
current_forward_baseline_single_defect_std,sample_std,test,area_bin,large,0.8,46,0.0037028463917492525,0.0050947331048129645,0.008783408910276902,0.041647258160913414,0.0,6.244997998398398,6.244997998398398,0.017383262231284134,0.01084528183873521,0.030119676111175667,,,
current_forward_baseline_single_defect_mean,mean,test,area_bin,medium,0.8,46,0.35679611238650866,0.5054094758134342,0.1690913067085844,1.0977528904011284,0.0,22.333333333333332,23.666666666666668,0.14459893478593533,0.6931142814913586,0.5525983214181011,,,
current_forward_baseline_single_defect_std,sample_std,test,area_bin,medium,0.8,46,0.011800726761068,0.01257135467639855,0.01745954875543575,0.03399042560730524,0.0,5.033222956847167,5.033222956847167,0.01465249000465329,0.02367582268295534,0.030119676111175667,,,
current_forward_baseline_single_defect_mean,mean,test,area_bin,small,0.8,46,0.25627298750737576,0.38032088885630194,0.5207523722101765,1.3049171942388036,1.3333333333333333,6.0,39.666666666666664,0.16566547274798749,0.1158415041535012,0.5525983214181011,,,
current_forward_baseline_single_defect_std,sample_std,test,area_bin,small,0.8,46,0.0027929182696751482,0.0022289857001874546,0.07314274683473074,0.0670211131293452,1.1547005383792517,3.0,3.511884584284246,0.030243245705244316,0.07768131918913226,0.030119676111175667,,,
current_forward_baseline_single_defect_mean,mean,test,defect_type,polygon,0.8,75,0.31505998073130287,0.44896365033521685,0.3743443529938601,1.1359728223901906,1.3333333333333333,27.0,47.666666666666664,0.14798414880099395,0.38967927807265973,0.5525983214181011,,,
current_forward_baseline_single_defect_std,sample_std,test,defect_type,polygon,0.8,75,0.0008228312255464776,0.000460331489410559,0.04072718027768573,0.044743722168135616,1.1547005383792517,6.082762530298219,6.429100507328637,0.023027036302220045,0.04169816131184605,0.030119676111175667,,,
current_forward_baseline_single_defect_mean,mean,test,defect_type,rotated_rect,0.8,63,0.3968227393310622,0.5482489737458347,0.1985221495808899,1.17667815617468,0.0,35.333333333333336,27.666666666666668,0.1338616557931774,0.746549563496007,0.5525983214181011,,,
current_forward_baseline_single_defect_std,sample_std,test,defect_type,rotated_rect,0.8,63,0.009175283739986403,0.012599390620311934,0.008909963474194009,0.04557862461702935,0.0,7.637626158259733,7.637626158259733,0.01839977758928654,0.016352237572263218,0.030119676111175667,,,
current_forward_baseline_single_defect_mean,mean,test,overall,all,0.8,138,0.352386457483367,0.49428955884875986,0.29407769491402586,1.154734111255041,1.3333333333333333,62.333333333333336,75.33333333333333,0.14153692373220814,0.552598321418101,0.5525983214181011,,,
current_forward_baseline_single_defect_std,sample_std,test,overall,all,0.8,138,0.004606454089515279,0.005862525908342961,0.020939922014788503,0.04436567916298843,1.1547005383792517,13.428824718989123,13.650396819628847,0.020648398600232626,0.030119676111175588,0.030119676111175667,,,
current_forward_baseline_single_defect_mean,mean,test,signal_bin,low_signal,0.8,46,0.2651066412915148,0.3923332635516983,0.43042588496487166,1.2668576935877993,1.3333333333333333,19.333333333333332,26.333333333333332,0.1837510454815988,0.22701401987834147,0.5525983214181011,,,
current_forward_baseline_single_defect_std,sample_std,test,signal_bin,low_signal,0.8,46,0.0009956588881777598,0.0007379170848696745,0.04035534213921348,0.04374551330909395,1.1547005383792517,3.0550504633038935,3.5118845842842465,0.028465930454678552,0.04095895739748197,0.030119676111175667,,,
