candidate,seed,group_type,group,threshold,n,mse,mae,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite,macro_area_composite
current_baseline_composite,42,overall,all,mu<500,200,21158.920823974608,48.59307155609131,0.3216848805074674,0.4537062894596947,0.3475024467431085,1.2120649095057794,16.0,131.0,67.0,0.4278887232240536,0.4282327857812874
current_baseline_composite,42,area_bin,small,mu<500,67,14569.093017578125,36.969518718434806,0.2147079655229421,0.31174388731013636,0.48258143590351976,1.204856552324205,14.0,35.0,32.0,0.04387041692955873,0.4282327857812874
current_baseline_composite,42,area_bin,medium,mu<500,66,19482.30301550663,45.705984780282684,0.3320368544658089,0.4733530427965,0.3083446000342558,1.337747581419535,2.0,50.0,14.0,0.497045297228053,0.4282327857812874
current_baseline_composite,42,area_bin,large,mu<500,67,29400.34229244403,63.06062032215631,0.4184643286076563,0.5763151733968777,0.25099685881828365,1.0977119532094073,0.0,46.0,21.0,0.7437826431862504,0.4282327857812874
current_baseline_composite,42,signal_bin,low_signal,mu<500,67,17057.717507433536,41.58859341180147,0.18128291954467904,0.2754640334067431,0.5466754474157349,1.485622780434057,16.0,53.0,14.0,-0.08992849446431284,0.4282327857812874
current_baseline_composite,42,signal_bin,non_low_signal,mu<500,133,23224.940539826126,52.12164325283882,0.39241368790977427,0.5434975011555425,0.24716717572757493,1.1071667785483195,0.0,78.0,53.0,0.6887440133377418,0.4282327857812874
current_baseline_composite,123,overall,all,mu<500,200,21701.699974365234,48.183811383247374,0.3143685815224847,0.4463300471411402,0.34982548385615786,1.2360381859096246,9.0,133.0,66.0,0.41087314480746706,0.4112353112779857
current_baseline_composite,123,area_bin,small,mu<500,67,14042.360173011893,35.76169274458245,0.2168792560421094,0.3162268454776738,0.4365064440279319,1.1828237134268729,8.0,36.0,31.0,0.09659965749185134,0.4112353112779857
current_baseline_composite,123,area_bin,medium,mu<500,66,20200.749363754734,45.623899055249765,0.32428904886110094,0.46488040901195665,0.3055008524913351,1.372728038751162,1.0,50.0,16.0,0.4836686053817225,0.4112353112779857
current_baseline_composite,123,area_bin,large,mu<500,67,30839.588138409516,63.127634703223386,0.4020855063409394,0.5581597580064889,0.30680759338704505,1.1502891328018994,0.0,47.0,19.0,0.6534376709603833,0.4112353112779857
current_baseline_composite,123,signal_bin,low_signal,mu<500,67,17673.599503702193,41.484445899280146,0.20108796572809645,0.302145709802062,0.5258679638878669,1.5076012060303112,9.0,49.0,18.0,-0.02263428835770842,0.4112353112779857
current_baseline_composite,123,signal_bin,non_low_signal,mu<500,133,23730.893444548874,51.55867970975718,0.37143475639634943,0.5189642621916531,0.26114243000559767,1.1176122072103776,0.0,84.0,48.0,0.629256588582405,0.4112353112779857
current_baseline_composite,2026,overall,all,mu<500,200,21471.158256225586,50.7656289100647,0.3289214613248653,0.4636183694500884,0.31498802692760286,1.2288849423111408,6.0,132.0,68.0,0.47755180384735085,0.4778276413465276
current_baseline_composite,2026,area_bin,small,mu<500,67,14765.379531177123,37.632861578642434,0.2341307731838781,0.33908357927827343,0.44898704927723126,1.256074749406368,4.0,35.0,32.0,0.12422730318492031,0.4778276413465276
current_baseline_composite,2026,area_bin,medium,mu<500,66,20168.466397372158,48.45705737489642,0.33400773920438365,0.47669794764540857,0.2777105456679135,1.3308201768086292,2.0,43.0,23.0,0.5329951411818787,0.4778276413465276
current_baseline_composite,2026,area_bin,large,mu<500,67,29460.185678055037,66.17251148508556,0.41870178618155096,0.5752687990115878,0.21771010552035516,1.1059474370150424,0.0,54.0,13.0,0.7762604796727836,0.4778276413465276
current_baseline_composite,2026,signal_bin,low_signal,mu<500,67,17731.24048033757,43.857253999852425,0.21030942549612933,0.3143622246244696,0.4880186125742295,1.4368633823316606,6.0,48.0,19.0,0.036653037546369394,0.4778276413465276
current_baseline_composite,2026,signal_bin,non_low_signal,mu<500,133,23355.176985432332,54.24578769941975,0.38867338914836386,0.5388075551893099,0.22782224318080607,1.1334963344821805,0.0,84.0,49.0,0.6996587011568676,0.4778276413465276
current_baseline_composite_mean,mean,area_bin,large,mu<500,67,N/A,N/A,0.4130838737100489,0.5699145768049848,0.258504852575228,1.117982841008783,0.0,49.0,17.666666666666668,0.7244935979398058,0.4390985794686002
current_baseline_composite_std,sample_std,area_bin,large,mu<500,67,N/A,N/A,0.009525605498563806,0.010193407113308685,0.045020751478951064,0.02827946543774656,0.0,4.358898943540674,4.163331998932266,0.0636428396199467,0.034600342633142295
current_baseline_composite_mean,mean,area_bin,medium,mu<500,66,N/A,N/A,0.3301112141770978,0.47164379981795507,0.29718533273116815,1.3470985989931086,1.6666666666666667,47.666666666666664,17.666666666666668,0.5045696812638848,0.4390985794686002
current_baseline_composite_std,sample_std,area_bin,medium,mu<500,66,N/A,N/A,0.005137538650782548,0.006091361794218183,0.016925490344190903,0.022464380035838102,0.5773502691896257,4.041451884327381,4.725815626252609,0.02550958741042342,0.034600342633142295
current_baseline_composite_mean,mean,area_bin,small,mu<500,67,N/A,N/A,0.2219059982496432,0.32235143735536115,0.4560249764028943,1.2145850050524818,8.666666666666666,35.333333333333336,31.666666666666668,0.08823245920211013,0.4390985794686002
current_baseline_composite_std,sample_std,area_bin,small,mu<500,67,N/A,N/A,0.010642484074415136,0.014662798453205662,0.023830139167732113,0.03758205239714912,5.033222956847166,0.5773502691896258,0.5773502691896258,0.04082664323183043,0.034600342633142295
current_baseline_composite_mean,mean,overall,all,mu<500,200,N/A,N/A,0.32165830778493915,0.45455156868364116,0.3374386525089564,1.2256626792421816,10.333333333333334,132.0,67.0,0.4387712239596238,0.4390985794686002
current_baseline_composite_std,sample_std,overall,all,mu<500,200,N/A,N/A,0.007276476291297966,0.008675102004549877,0.019477475891468733,0.012307182043342562,5.131601439446884,1.0,1.0,0.034645815180682854,0.034600342633142295
current_baseline_composite_mean,mean,signal_bin,low_signal,mu<500,67,N/A,N/A,0.19756010358963494,0.2973239892777582,0.5201873412926105,1.4766957895986763,10.333333333333334,50.0,17.0,-0.02530324842521729,0.4390985794686002
current_baseline_composite_std,sample_std,signal_bin,low_signal,mu<500,67,N/A,N/A,0.014831347558073993,0.019892311620663235,0.029738160218954614,0.03620398181742685,5.131601439446884,2.6457513110645907,2.6457513110645907,0.06333295802679921,0.034600342633142295
current_baseline_composite_mean,mean,signal_bin,non_low_signal,mu<500,133,N/A,N/A,0.38417394448482917,0.5337564395121684,0.24537728297132624,1.1194251067469592,0.0,82.0,50.0,0.6725531010256715,0.4390985794686002
current_baseline_composite_std,sample_std,signal_bin,non_low_signal,mu<500,133,N/A,N/A,0.011189845556190684,0.013023259219670106,0.016732050070714814,0.013258066694125579,0.0,3.4641016151377544,2.6457513110645907,0.03789094344114026,0.034600342633142295
mask_boundary_candidate,42,overall,all,mask_prob>=0.5,200,N/A,N/A,0.37386138682481673,0.5268470580680144,0.7746347686222603,1.1380404724772253,1,22,178,0.12607367627057076,0.12698832917275274
mask_boundary_candidate,42,area_bin,small,mask_prob>=0.5,67,N/A,N/A,0.2977684562560686,0.4411214140393648,1.2691463126271294,1.182888395745646,1,2,65,-0.530256442331696,0.12698832917275274
mask_boundary_candidate,42,area_bin,medium,mask_prob>=0.5,66,N/A,N/A,0.37422627101084593,0.5308451191088825,0.5951524805105469,1.3071944038524772,0,7,59,0.30991890960918156,0.12698832917275274
mask_boundary_candidate,42,area_bin,large,mask_prob>=0.5,67,N/A,N/A,0.4495948792401629,0.6086343136086443,0.4569266726080345,0.9272326753655477,0,13,54,0.6013025202407727,0.12698832917275274
mask_boundary_candidate,42,signal_bin,low_signal,mask_prob>=0.5,67,N/A,N/A,0.30521250990384224,0.44540992853833294,0.9825473383517365,1.325570123778148,1,11,56,-0.23192489990956133,0.12698832917275274
mask_boundary_candidate,42,signal_bin,non_low_signal,mask_prob>=0.5,133,N/A,N/A,0.40844390376996925,0.567871777455147,0.6698968575555317,1.044980645515865,0,11,122,0.3064188236695846,0.12698832917275274
mask_boundary_candidate,123,overall,all,mask_prob>=0.5,200,N/A,N/A,0.37964702607673045,0.5329852583982034,0.8018411719149593,1.1069005156338365,1,17,183,0.11079111255997465,0.11146986684539402
mask_boundary_candidate,123,area_bin,small,mask_prob>=0.5,67,N/A,N/A,0.29239480282240043,0.4347934852619211,1.375353989646101,1.2174069540518704,1,1,66,-0.6481657015617794,0.11146986684539402
mask_boundary_candidate,123,area_bin,medium,mask_prob>=0.5,66,N/A,N/A,0.37966509323417713,0.5398042547291236,0.6722486240340324,1.1289364333179863,0,5,61,0.2472207239292683,0.11146986684539402
mask_boundary_candidate,123,area_bin,large,mask_prob>=0.5,67,N/A,N/A,0.4668814518326805,0.6244598112682063,0.3559866849321936,0.9763364036525808,0,11,56,0.7353545781686932,0.11146986684539402
mask_boundary_candidate,123,signal_bin,low_signal,mask_prob>=0.5,67,N/A,N/A,0.3091858723738077,0.451944543507333,1.103752193191246,1.2106925264903994,1,6,61,-0.34262177731010524,0.11146986684539402
mask_boundary_candidate,123,signal_bin,non_low_signal,mask_prob>=0.5,133,N/A,N/A,0.41514249448346613,0.5738102801853339,0.6497506574374314,1.055394705735091,0,11,122,0.3392021172313686,0.11146986684539402
mask_boundary_candidate,2026,overall,all,mask_prob>=0.5,200,N/A,N/A,0.37477543963675514,0.5282187985639323,0.7335379186748936,1.0955075525541595,3,24,176,0.16945631952579387,0.17036276999701627
