candidate,seed,split,group_type,group,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite,macro_area_composite
mask_boundary_val_scan,42,val,overall,all,0.5,200,0.3808809258594607,0.5316378978794428,0.7021855509997934,1.0743776795200326,2,19,181,0.21033327273911007,0.21118956455037963
mask_boundary_val_scan,42,val,area_bin,small,0.5,67,0.2802437457405381,0.4114661549917995,1.0337437198515553,1.172261330485344,2,4,63,-0.3420338191192177,0.21118956455037963
mask_boundary_val_scan,42,val,area_bin,medium,0.5,66,0.41430068079922916,0.5736969885737663,0.6055497425687021,1.155743610170303,0,5,61,0.3824479268042934,0.21118956455037963
mask_boundary_val_scan,42,val,area_bin,large,0.5,67,0.4485971533511485,0.6103782976950661,0.46582086508015136,0.8992644148086434,0,10,57,0.5931545859660632,0.21118956455037963
mask_boundary_val_scan,42,val,signal_bin,low_signal,0.5,0,nan,nan,nan,nan,0,0,0,nan,0.21118956455037963
mask_boundary_val_scan,42,val,signal_bin,non_low_signal,0.5,200,0.3808809258594607,0.5316378978794428,0.7021855509997934,1.0743776795200326,2,19,181,0.21033327273911007,0.21118956455037963
mask_boundary_val_scan,42,val,overall,all,0.6,200,0.38013842365511835,0.5293449346787135,0.6012180628158413,1.085691573700369,2,31,169,0.3082652955179904,0.3090786169532295
mask_boundary_val_scan,42,val,area_bin,small,0.6,67,0.2807759156080225,0.40917383384808986,0.89558145030993,1.187362855214339,2,7,60,-0.20563170085381755,0.3090786169532295
mask_boundary_val_scan,42,val,area_bin,medium,0.6,66,0.41457909778639856,0.5724509705317716,0.5152871643171413,1.1583641505038196,0,7,59,0.4717429040010289,0.3090786169532295
mask_boundary_val_scan,42,val,area_bin,large,0.6,67,0.44557429748334126,0.6070533733257275,0.3915030230965915,0.9154673443356557,0,17,50,0.6611246477124773,0.3090786169532295
mask_boundary_val_scan,42,val,signal_bin,low_signal,0.6,0,nan,nan,nan,nan,0,0,0,nan,0.3090786169532295
