seed,row_type,criterion,epoch,split,threshold,checkpoint,mse,mae,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite
42,selected_val,best_val_mse,17,val,500,checkpoints\model_selection_audit\v3_complex_model_selection_best_val_mse.pt,22284.08889404297,51.975119762420654,0.26394149419318913,0.3814636550796979,0.4837518450217726,1.323240884808366,33,186,13,0.16165330425111446
42,selected_val,best_val_iou,13,val,500,checkpoints\model_selection_audit\v3_complex_model_selection_best_val_iou.pt,23091.996516113282,51.87741169452667,0.32585787722638915,0.4569056513835072,0.38774527941355474,1.1218989665154369,20,131,69,0.39501824919634165
42,selected_val,best_val_dice,13,val,500,checkpoints\model_selection_audit\v3_complex_model_selection_best_val_dice.pt,23091.996516113282,51.87741169452667,0.32585787722638915,0.4569056513835072,0.38774527941355474,1.1218989665154369,20,131,69,0.39501824919634165
42,selected_val,best_val_area_error,28,val,500,checkpoints\model_selection_audit\v3_complex_model_selection_best_val_area_error.pt,23164.45919189453,48.93699959278106,0.3141237886323895,0.44311809283973497,0.3709663047663593,1.1820852203028542,18,142,58,0.3862755767057652
42,selected_val,best_composite,13,val,500,checkpoints\model_selection_audit\v3_complex_model_selection_best_composite.pt,23091.996516113282,51.87741169452667,0.32585787722638915,0.4569056513835072,0.38774527941355474,1.1218989665154369,20,131,69,0.39501824919634165
123,selected_val,best_val_mse,12,val,500,checkpoints\model_selection_3seed\seed_123\v3_complex_model_selection_seed123_best_val_mse.pt,22282.644110107423,51.111924438476564,0.3087415049723503,0.43566963531563024,0.3996049377810485,1.2565826312201458,19,161,39,0.344806202506932
123,selected_val,best_val_iou,25,val,500,checkpoints\model_selection_3seed\seed_123\v3_complex_model_selection_seed123_best_val_iou.pt,23153.042032470705,50.51026624679565,0.31936334752506407,0.44639324071861675,0.37021141948439834,1.1876361116931584,19,132,68,0.3955451687592824
123,selected_val,best_val_dice,25,val,500,checkpoints\model_selection_3seed\seed_123\v3_complex_model_selection_seed123_best_val_dice.pt,23153.042032470705,50.51026624679565,0.31936334752506407,0.44639324071861675,0.37021141948439834,1.1876361116931584,19,132,68,0.3955451687592824
123,selected_val,best_val_area_error,46,val,500,checkpoints\model_selection_3seed\seed_123\v3_complex_model_selection_seed123_best_val_area_error.pt,24704.60237060547,44.22075285434723,0.3003427265726681,0.4236191838429164,0.3689726161776944,1.1755953674816955,19,154,46,0.35498929423789016
123,selected_val,best_composite,25,val,500,checkpoints\model_selection_3seed\seed_123\v3_complex_model_selection_seed123_best_composite.pt,23153.042032470705,50.51026624679565,0.31936334752506407,0.44639324071861675,0.37021141948439834,1.1876361116931584,19,132,68,0.3955451687592824
2026,selected_val,best_val_mse,23,val,500,checkpoints\model_selection_3seed\seed_2026\v3_complex_model_selection_seed2026_best_val_mse.pt,22341.71587158203,47.76766987323761,0.2542127242706458,0.3665797816303416,0.5273162129170731,1.2045929405273814,35.0,179.0,21.0,0.09347629298391424
2026,selected_val,best_val_iou,11,val,500,checkpoints\model_selection_3seed\seed_2026\v3_complex_model_selection_seed2026_best_val_iou.pt,22955.799642333983,53.348818516731264,0.33535776186134086,0.4683226638804209,0.3510500846070521,1.154127424673454,15.0,127.0,73.0,0.4526303411347097
2026,selected_val,best_val_dice,11,val,500,checkpoints\model_selection_3seed\seed_2026\v3_complex_model_selection_seed2026_best_val_dice.pt,22955.799642333983,53.348818516731264,0.33535776186134086,0.4683226638804209,0.3510500846070521,1.154127424673454,15.0,127.0,73.0,0.4526303411347097
2026,selected_val,best_val_area_error,11,val,500,checkpoints\model_selection_3seed\seed_2026\v3_complex_model_selection_seed2026_best_val_area_error.pt,22955.799642333983,53.348818516731264,0.33535776186134086,0.4683226638804209,0.3510500846070521,1.154127424673454,15.0,127.0,73.0,0.4526303411347097
2026,selected_val,best_composite,11,val,500,checkpoints\model_selection_3seed\seed_2026\v3_complex_model_selection_seed2026_best_composite.pt,22955.799642333983,53.348818516731264,0.33535776186134086,0.4683226638804209,0.3510500846070521,1.154127424673454,15.0,127.0,73.0,0.4526303411347097
42,test_candidate,current_baseline,,test,500,checkpoints/best_model_v3_complex_tv_sweep_2e-6.pt,20737.717412109374,44.4655260181427,0.2952720465605976,0.4218854070236965,0.3945174424962078,1.325941887571589,18,158,42,0.32264001108808626
123,test_candidate,current_baseline,,test,500,checkpoints/best_model_v3_complex_tv_sweep_2e-6.pt,20737.717412109374,44.4655260181427,0.2952720465605976,0.4218854070236965,0.3945174424962078,1.325941887571589,18,158,42,0.32264001108808626
2026,test_candidate,current_baseline,,test,500,checkpoints/best_model_v3_complex_tv_sweep_2e-6.pt,20737.717412109374,44.4655260181427,0.2952720465605976,0.4218854070236965,0.3945174424962078,1.325941887571589,18,158,42,0.32264001108808626
42,test_candidate,current_baseline,,test,600,checkpoints/best_model_v3_complex_tv_sweep_2e-6.pt,20737.717412109374,44.4655260181427,0.3527872048463401,0.49519200219243936,0.4158086906848638,1.2030783821853044,9,80,120,0.4321705163539157
123,test_candidate,current_baseline,,test,600,checkpoints/best_model_v3_complex_tv_sweep_2e-6.pt,20737.717412109374,44.4655260181427,0.3527872048463401,0.49519200219243936,0.4158086906848638,1.2030783821853044,9,80,120,0.4321705163539157
2026,test_candidate,current_baseline,,test,600,checkpoints/best_model_v3_complex_tv_sweep_2e-6.pt,20737.717412109374,44.4655260181427,0.3527872048463401,0.49519200219243936,0.4158086906848638,1.2030783821853044,9,80,120,0.4321705163539157
42,test_candidate,best_val_mse,17,test,500,checkpoints\model_selection_audit\v3_complex_model_selection_best_val_mse.pt,20785.761013793945,49.71256168842316,0.26164511672551743,0.3797959144094724,0.4735635495326608,1.3455473803573073,23,183,17,0.16787748160232907
42,test_candidate,best_val_mse,17,test,600,checkpoints\model_selection_audit\v3_complex_model_selection_best_val_mse.pt,20785.761013793945,49.71256168842316,0.32767627058688126,0.46214530446102287,0.35683464158002154,1.2537466826177732,14,123,76,0.43298693346788253
42,test_candidate,best_val_iou,13,test,500,checkpoints\model_selection_audit\v3_complex_model_selection_best_val_iou.pt,21158.922271728516,48.59309167861939,0.3216848805074674,0.4537062894596947,0.3475024467431085,1.2120649095057794,16,131,67,0.4278887232240536
42,test_candidate,best_val_iou,13,test,600,checkpoints\model_selection_audit\v3_complex_model_selection_best_val_iou.pt,21158.922271728516,48.59309167861939,0.3634883184109857,0.5087385254612055,0.4494297744070714,1.1695492325302883,5,53,147,0.4227970694651198
42,test_candidate,best_val_dice,13,test,500,checkpoints\model_selection_audit\v3_complex_model_selection_best_val_dice.pt,21158.922271728516,48.59309167861939,0.3216848805074674,0.4537062894596947,0.3475024467431085,1.2120649095057794,16,131,67,0.4278887232240536
