model,sample_index,source_index,area_bin,defect_type,mse,mae,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,pred_area_lt_true,pred_area_gt_true,pred_center_x,pred_center_y,true_center_x,true_center_y,source_true_area_pixels
CURRENT_BASELINE,0,753,small,rotated_rect,14847.3330078125,30.176334381103516,0.0,0.0,0.9952267303102625,1.8862199783325195,0.030455347877619943,6.380395380361378,False,True,False,7.613065242767334,5.101010322570801,7.910255432128906,3.2383499145507812,419
CURRENT_BASELINE,1,499,small,polygon,10971.3134765625,24.686187744140625,0.0,0.0,1.0,nan,0.0,3.4871373319874834,True,True,False,nan,nan,5.723047733306885,3.751047372817993,229
CURRENT_BASELINE,2,673,small,polygon,14915.134765625,30.671239852905273,0.0,0.0,0.7972972972972973,2.037416696548462,0.9136604363285983,4.5073914858877515,False,True,False,7.547738552093506,5.097641944885254,7.860077857971191,7.11097526550293,296
CURRENT_BASELINE,3,502,small,multi_defect,18247.021484375,43.56972885131836,0.039634146341463415,0.07624633431085044,0.5850622406639004,2.2195377349853516,3.0455347877619943,7.339738838506406,False,True,False,-7.15778923034668,5.087878227233887,-4.94078254699707,5.19384765625,482
CURRENT_BASELINE,4,225,small,polygon,11586.537109375,32.9571647644043,0.5902192242833052,0.7423117709437964,0.043568464730290454,0.37372297048568726,7.019957685791397,7.339738838506406,False,True,False,2.755589008331299,4.996823310852051,3.0225818157196045,4.735320568084717,482
CURRENT_BASELINE,5,82,small,polygon,9357.2685546875,19.02682113647461,0.0,0.0,1.0,nan,0.0,3.639414071375583,True,True,False,nan,nan,0.31128448247909546,5.385656356811523,239
CURRENT_BASELINE,6,735,small,polygon,23460.87109375,43.315067291259766,0.0,0.0,0.28604651162790695,2.1490118503570557,4.674895899214661,6.547899793688288,False,True,False,-3.972877264022827,4.836639881134033,-4.062288284301758,6.983790874481201,430
CURRENT_BASELINE,7,351,small,polygon,10514.896484375,28.009672164916992,0.43249427917620137,0.6038338658146964,0.0972644376899696,0.6600660681724548,4.5226191598265615,5.009904725868481,False,True,False,1.8747777938842773,4.918885707855225,1.2342106103897095,5.078136920928955,329
CURRENT_BASELINE,8,916,small,polygon,15274.7099609375,30.18496322631836,0.0,0.0,1.0,nan,0.0,5.832199118564219,True,True,False,nan,nan,6.852998733520508,5.41999626159668,383
CURRENT_BASELINE,9,396,small,rotated_rect,15083.8974609375,35.92426681518555,0.2946058091286307,0.4551282051282051,0.058091286307053944,1.109887719154358,6.913363968219727,7.339738838506406,False,True,False,-1.5935404300689697,4.7223334312438965,-1.5857295989990234,3.612473249435425,482
CURRENT_BASELINE,10,907,small,polygon,17756.005859375,32.97186279296875,0.0,0.0,0.991304347826087,2.3166873455047607,0.045683021816429914,5.25354750888944,False,True,False,6.557788848876953,5.151515483856201,5.5995192527771,3.042307138442993,345
CURRENT_BASELINE,11,106,small,polygon,12794.400390625,27.37765884399414,0.0,0.0,1.0,nan,0.0,5.619011683420879,True,True,False,nan,nan,-4.478694438934326,4.178915977478027,369
CURRENT_BASELINE,12,71,small,polygon,5920.5849609375,16.23310661315918,0.0,0.0,1.0,nan,0.0,2.3298341126379256,True,True,False,nan,nan,6.9903435707092285,3.6390037536621094,153
CURRENT_BASELINE,13,921,small,polygon,14619.6943359375,34.587318420410156,0.3673469387755102,0.5373134328358209,0.4772727272727273,1.0413323640823364,3.8526015065189227,7.370194186384026,False,True,False,-5.347587585449219,4.9155592918396,-4.353794097900391,4.604516506195068,484
CURRENT_BASELINE,14,618,small,polygon,12074.25,32.06038284301758,0.2625,0.4158415841584158,0.9560975609756097,0.8873811364173889,6.1062972494627985,3.121673157456044,False,False,True,-7.501033782958984,5.097357749938965,-7.776320934295654,4.253756999969482,205
CURRENT_BASELINE,15,782,small,rotated_rect,12035.0390625,33.20207977294922,0.4597495527728086,0.6299019607843137,0.019801980198019802,0.2935461103916168,6.273801662789708,6.151980271279228,False,False,True,-5.029394149780273,4.915416240692139,-5.090551853179932,5.202520847320557,404
CURRENT_BASELINE,16,401,small,multi_defect,16953.384765625,41.58355712890625,0.09818181818181818,0.17880794701986755,0.6272727272727273,0.5056836605072021,2.4973385259648353,6.700176533076387,False,True,False,1.4937492609024048,4.513427257537842,1.867976188659668,4.173324108123779,440
CURRENT_BASELINE,17,444,small,polygon,18743.3828125,40.772525787353516,0.19201030927835053,0.32216216216216215,0.1511627906976744,1.7974027395248413,7.537698599710936,6.547899793688288,False,False,True,-3.587787389755249,4.910110950469971,-3.6450860500335693,6.706600189208984,430
