row_type,split,model,area_bin,count,mse,mae,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,mean_pred_area,mean_true_area
overall,train,CURRENT_BASELINE,all,1000,20900.74807800293,45.423148768901825,0.308863483377252,0.4354497314724846,0.39734937631175976,1.2155703865037568,87,818,179,7.431439890965921,11.06588974063745
area_bin,train,CURRENT_BASELINE,small,334,13193.675146411279,31.006469468156734,0.1961441630585156,0.2866099259443103,0.51890209735998,1.1580202089375982,81,239,95,3.6835013788571076,5.362010491824856
area_bin,train,CURRENT_BASELINE,medium,333,19119.788690057245,41.896392524421394,0.34364966730738655,0.4814693349038846,0.30801471488691406,1.1501935744237881,5,260,70,7.273432150184261,9.979979709993106
area_bin,train,CURRENT_BASELINE,large,333,30411.9247606982,63.409877645360815,0.3871351162232677,0.5387168999522262,0.36476629350205425,1.324015534956973,1,319,14,11.348641214463322,17.87280778660734
overall,train,overfit100_direct,all,1000,32067.251974243165,39.42040618896485,0.31373681689991667,0.4251557596428624,0.4071889212770201,1.4478718995610822,20,569,430,9.721575457645368,11.06588974063745
area_bin,train,overfit100_direct,small,334,20691.604449791823,26.864036789911236,0.2498931715778826,0.34294087394945966,0.5689660792218239,1.4756258352058043,12,126,207,6.6476091437007945,5.362010491824856
area_bin,train,overfit100_direct,medium,333,29478.11448032505,36.54383581178682,0.3473077969322649,0.4647853079621539,0.30692092075229443,1.31691927919136,4,172,161,9.812246652913363,9.979979709993106
area_bin,train,overfit100_direct,large,333,46066.19809628965,54.891052780208646,0.3442012048482273,0.4679879885656024,0.3451939465658166,1.5516610935551192,4,271,62,12.714101706393853,17.87280778660734
overall,train,overfit100_warmstart_50epoch,all,1000,18734.20019165039,37.90234792208672,0.3296484271005917,0.45319018461305427,0.4364040205182399,1.1065519130125019,116,901,98,7.120445106113604,11.06588974063745
area_bin,train,overfit100_warmstart_50epoch,small,334,12205.182274367282,25.856571536578105,0.1798278401158712,0.2619346420618283,0.5894505963984797,1.0509141231456254,107,297,36,2.707243348762084,5.362010491824856
area_bin,train,overfit100_warmstart_50epoch,medium,333,18054.279062265392,36.28742932843733,0.345294471498794,0.4816473753463419,0.37973821433117355,1.108813079441955,9,302,31,6.380303922860244,9.979979709993106
area_bin,train,overfit100_warmstart_50epoch,large,333,25962.745898730762,51.5992164039039,0.4642728813597368,0.6165628773996148,0.3395636514980987,1.1422791213507544,0,302,31,12.287040904848668,17.87280778660734
overall,val,CURRENT_BASELINE,all,200,22193.20797973633,47.04844178199768,0.30509421157482575,0.43057420849529754,0.3944891256762311,1.231304345724497,19,162,37,7.894483000097252,11.564352419350454
area_bin,val,CURRENT_BASELINE,small,68,13411.417756922105,30.547634461346796,0.18741871212428177,0.26971863877882557,0.5283244735118204,1.1651551017165185,18,50,17,3.7117455225849305,5.494279118951509
area_bin,val,CURRENT_BASELINE,medium,53,18609.90676591981,40.81197439949467,0.3520132751480497,0.4949213519838448,0.31946090711617486,1.0697505860231245,1,41,12,7.3293955128121215,9.890230565955767
area_bin,val,CURRENT_BASELINE,large,79,32156.204175731804,65.43562746651565,0.3749071684514856,0.5258625646450077,0.32962446657322986,1.3795101394570326,0,71,8,11.87392332031181,17.912370680832062
overall,val,overfit100_direct,all,200,37166.344299316406,44.797032427787784,0.2510725914354998,0.3724798733328182,0.4421820987899247,1.539351096972055,6,112,88,10.234976484492346,11.564352419350454
area_bin,val,overfit100_direct,small,68,22394.865500057444,28.494006395339966,0.18442786176148335,0.27652753017722254,0.5966558080286853,1.581601521698758,4,29,39,6.581490250906251,5.494279118951509
area_bin,val,overfit100_direct,medium,53,29153.977649616747,36.01874902113428,0.32215811352784063,0.4654762424207485,0.36630953070296585,1.43089703540757,0,25,28,9.643714636908618,9.890230565955767
area_bin,val,overfit100_direct,large,79,55256.42013202136,64.71924496904204,0.2607473882321966,0.3926817945090232,0.36011923651616634,1.578884059055285,2,58,21,13.776418785831487,17.912370680832062
overall,val,overfit100_warmstart_50epoch,all,200,23471.78852661133,43.42071805000305,0.2848261179187361,0.4071935668184352,0.43046208337542596,1.2755189827981999,24,171,29,7.526353982626522,11.564352419350454
area_bin,val,overfit100_warmstart_50epoch,small,68,13447.09129782284,26.82559854844037,0.18290988631960373,0.26764400413581263,0.5555254021913995,1.1717926853514733,21,58,10,3.1299588035698083,5.494279118951509
area_bin,val,overfit100_warmstart_50epoch,medium,53,18609.122641509435,36.81131949514713,0.33085728019976945,0.4660342817091526,0.3792363676013184,1.1252405905723573,3,46,7,6.578642456168527,9.890230565955767
area_bin,val,overfit100_warmstart_50epoch,large,79,35362.93667177611,62.139278170428696,0.34166981599273905,0.4878367614160341,0.35717926383797666,1.4323424712955197,0,67,12,11.946399338045895,17.912370680832062
overall,test,CURRENT_BASELINE,all,200,20737.717412109374,44.4655260181427,0.2952720465605976,0.4218854070236965,0.3945174424962078,1.325941887571589,18,158,42,7.16553424864642,10.504201759730506
area_bin,test,CURRENT_BASELINE,small,67,13855.741138059702,32.28812630496808,0.20224132005907075,0.29297590959780095,0.45479017756706586,1.1933176609186025,15,42,25,4.331705038802674,5.431506743129562
area_bin,test,CURRENT_BASELINE,medium,74,19387.37521114865,42.33076438388309,0.3228442309379675,0.46178776034771696,0.34899902390550785,1.2866887632809894,3,60,14,7.043828093587369,9.820615014267123
area_bin,test,CURRENT_BASELINE,large,59,30246.49255164195,60.97159621675136,0.3663350470974946,0.5182271389145017,0.38316303107187416,1.4900678470730782,0,56,3,10.536259884814225,17.12209981526531
overall,test,overfit100_direct,all,200,34461.4543359375,41.713406744003294,0.2521113720921331,0.3664710917783098,0.4634996203024883,1.7234072016013153,3,108,92,9.676425404416795,10.504201759730506
area_bin,test,overfit100_direct,small,67,22715.10988514459,28.809981502703767,0.19878941478989093,0.2903544336993054,0.7127780876467475,1.827483432192821,3,23,44,6.944955709674871,5.431506743129562
area_bin,test,overfit100_direct,medium,74,34282.14817356419,41.33234735437342,0.2577491042919484,0.3750586972193147,0.33318753018441943,1.7446659866821121,0,38,36,9.664840025460647,9.820615014267123
area_bin,test,overfit100_direct,large,59,48025.415932865464,56.84438786264193,0.3055923713542329,0.44213775768778285,0.3438629653308228,1.5838473905193604,0,47,12,12.792794685611103,17.12209981526531
overall,test,overfit100_warmstart_50epoch,all,200,21842.169219360352,40.474590818881985,0.2685602070629662,0.38713565462596605,0.42398687764347026,1.3763434048742056,20,177,23,6.752331316316811,10.504201759730506
