candidate,seed,split,group_type,group,K,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite
oracle_starconvex_radial,oracle,val,overall,all,16,binary,200,0.6834940301273223,0.7906240405594491,0.7070614768622622,0.275234452468936,0,2,198,0.7670565938245092
oracle_starconvex_radial,oracle,val,area_bin,small,16,binary,67,0.7907740431321618,0.8739226640102171,0.30597804646451765,0.07026773552976509,0,2,65,1.3587186606778614
oracle_starconvex_radial,oracle,val,area_bin,medium,16,binary,66,0.7060947433067442,0.8074648929829327,0.7039220295641758,0.19339178063356402,0,0,66,0.809637606725501
oracle_starconvex_radial,oracle,val,area_bin,large,16,binary,67,0.5539506280203657,0.6907359206915182,1.111237497135734,0.5608223088280256,0,0,67,0.13344905157614995
oracle_starconvex_radial,oracle,val,signal_bin,low_signal,16,binary,67,0.6952835853937946,0.7914189002274467,0.8082143340569242,0.22584380004523477,0,2,65,0.678488151564317
oracle_starconvex_radial,oracle,val,signal_bin,non_low_signal,16,binary,133,0.677554930857746,0.7902236225312098,0.6561047743657031,0.30011545782523663,0,0,133,0.8116737790232527
oracle_starconvex_radial,oracle,val,defect_type,multi_defect,16,binary,71,0.4813668393384161,0.6256519600337751,1.5285151002117725,0.6741457216205521,0,0,71,-0.42149630083958134
oracle_starconvex_radial,oracle,val,defect_type,polygon,16,binary,72,0.8191958197199155,0.8946557973991703,0.22535504717779611,0.0805913010909636,0,2,70,1.4884965699412898
oracle_starconvex_radial,oracle,val,defect_type,rotated_rect,16,binary,57,0.7638537089930354,0.8647070445044126,0.2923185940458822,0.02421001017857231,0,0,57,1.3362421594515659
oracle_starconvex_radial,oracle,test,overall,all,16,binary,200,0.6844980175643555,0.7886898069852131,0.8205751794373135,0.26018327287369175,0,0,200,0.6526126451122549
oracle_starconvex_radial,oracle,test,area_bin,small,16,binary,67,0.7827894213711614,0.8688016650623583,0.44088295820378554,0.080926785586096,0,0,67,1.2107081282297343
oracle_starconvex_radial,oracle,test,area_bin,medium,16,binary,66,0.661646235573389,0.7655388720336921,1.0103702529973464,0.2406663530731969,0,0,66,0.4168148546097348
oracle_starconvex_radial,oracle,test,area_bin,large,16,binary,67,0.6087173243755165,0.7313833475170286,1.0133050894027498,0.4586653826513272,0,0,67,0.32679558248979546
oracle_starconvex_radial,oracle,test,signal_bin,low_signal,16,binary,67,0.6563029441538942,0.7566482645703813,1.1844361933801522,0.2509614271806803,0,0,67,0.22851501534412333
oracle_starconvex_radial,oracle,test,signal_bin,non_low_signal,16,binary,133,0.6987015507861669,0.8048310351190006,0.637276773917237,0.2648288643130283,0,0,133,0.8662558119879303
oracle_starconvex_radial,oracle,test,defect_type,multi_defect,16,binary,62,0.4512103685764931,0.5878804004516519,2.0885933259634415,0.7068597337591552,0,0,62,-1.0495025569352965
oracle_starconvex_radial,oracle,test,defect_type,polygon,16,binary,75,0.8133272694986013,0.8924650873583397,0.21187083976897378,0.08664626978337765,0,0,75,1.4939215170879674
oracle_starconvex_radial,oracle,test,defect_type,rotated_rect,16,binary,63,0.7607145309322767,0.8627697621772179,0.2973323284929572,0.027188584887577843,0,0,63,1.3261519646165374
oracle_starconvex_radial,oracle,val,overall,all,32,binary,200,0.774061519546335,0.8506833547682908,0.49971899566749295,0.24234573979083138,0,28,170,1.1250258786471328
oracle_starconvex_radial,oracle,val,area_bin,small,32,binary,67,0.8752470660279873,0.9279759841504284,0.12446229716634695,0.041700455962379084,0,25,40,1.6787607530120687
oracle_starconvex_radial,oracle,val,area_bin,medium,32,binary,66,0.8068904023274736,0.8698086674372636,0.5089631806373244,0.18634803423121798,0,3,63,1.167735889127413
oracle_starconvex_radial,oracle,val,area_bin,large,32,binary,67,0.6405370736086357,0.7545508651450759,0.8658694821088051,0.4981529425287536,0,0,67,0.5292184566449063
