candidate,seed,split,group_type,group,K,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite
starconvex_radial_screening,42,val,overall,all,16,0.5,200,0.3592304514355,0.5124300071406326,0.7867321755883967,1.0650444749603047,0,8,192,0.0849282829877358
starconvex_radial_screening,42,val,area_bin,small,16,0.5,67,0.28875611733256423,0.4313836837272832,1.076237120793843,1.143053295229798,0,0,67,-0.3560973197339956
starconvex_radial_screening,42,val,area_bin,medium,16,0.5,66,0.39983352344198136,0.5584598064430987,0.600691659757777,1.0349464295290862,0,5,61,0.35760167012730293
starconvex_radial_screening,42,val,area_bin,large,16,0.5,67,0.3897077295320511,0.5481335431814032,0.6804910220966951,1.0166844755633553,0,3,64,0.2573502506167591
starconvex_radial_screening,42,val,signal_bin,low_signal,16,0.5,67,0.2859039739007683,0.4263196503764313,1.0077082690348271,1.1298679559310871,0,3,64,-0.2954846447576275
starconvex_radial_screening,42,val,signal_bin,non_low_signal,16,0.5,133,0.39616935365224454,0.5558089086684632,0.675413391671774,1.032389037178031,0,5,128,0.27656487064893376
starconvex_radial_screening,42,val,defect_type,multi_defect,16,0.5,71,0.34455666246493755,0.49775470304691055,0.9220718332342145,0.9882764259064701,0,3,68,-0.07976046772236633
starconvex_radial_screening,42,val,defect_type,polygon,16,0.5,72,0.30747787467634596,0.452264901467944,0.9366089503414633,1.1636838329335053,0,1,71,-0.17686617419717332
starconvex_radial_screening,42,val,defect_type,rotated_rect,16,0.5,57,0.4428800048314477,0.6067078001070859,0.42883316725376797,1.036070750552442,0,4,53,0.6207546376847657
starconvex_radial_screening_mean,mean,val,area_bin,large,16,0.5,67,0.3897077295320511,0.5481335431814032,0.6804910220966951,1.0166844755633553,0.0,3.0,64.0,0.2573502506167591
starconvex_radial_screening_std,sample_std,val,area_bin,large,16,0.5,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starconvex_radial_screening_mean,mean,val,area_bin,medium,16,0.5,66,0.39983352344198136,0.5584598064430987,0.600691659757777,1.0349464295290862,0.0,5.0,61.0,0.35760167012730293
starconvex_radial_screening_std,sample_std,val,area_bin,medium,16,0.5,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starconvex_radial_screening_mean,mean,val,area_bin,small,16,0.5,67,0.28875611733256423,0.4313836837272832,1.076237120793843,1.143053295229798,0.0,0.0,67.0,-0.3560973197339956
starconvex_radial_screening_std,sample_std,val,area_bin,small,16,0.5,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starconvex_radial_screening_mean,mean,val,defect_type,multi_defect,16,0.5,71,0.34455666246493755,0.49775470304691055,0.9220718332342145,0.9882764259064701,0.0,3.0,68.0,-0.07976046772236633
starconvex_radial_screening_std,sample_std,val,defect_type,multi_defect,16,0.5,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
