threshold,group,count,mse,mae,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero_count,pred_area_lt_true_count,pred_area_gt_true_count
500,overall,200,20737.717431030273,44.46552618980408,0.29527204656059736,0.42188540702369665,0.3945174424962079,1.325941887571589,7.165534248646419,10.504201759730506,18,158,42
500,small,67,13855.741179964436,32.28812639037175,0.20224132005907075,0.2929759095978009,0.45479017756706563,1.1933176609186025,4.331705038802674,5.431506743129562,15,42,25
500,medium,66,19301.123505563446,42.05302024610115,0.3106314354989266,0.4473165658710301,0.3674396027084214,1.3157536233701403,6.725786711973478,9.56113345491341,3,54,12
500,large,67,29034.845907182837,59.01942438154078,0.3731726287348154,0.5257433151372933,0.36091840035063205,1.4384541328051197,10.432547599093361,16.505889434807987,0,62,5
550,overall,200,20737.717431030273,44.46552618980408,0.33214349161178264,0.4686508145947627,0.3618492510682838,1.2351974308728537,9.309743015970254,10.504201759730506,12,119,81
550,small,67,13855.741179964436,32.28812639037175,0.23928486748301125,0.3462601221864672,0.5470752740579116,1.2084783866744617,6.085842165067381,5.431506743129562,9,24,43
550,medium,66,19301.123505563446,42.05302024610115,0.34551097737052666,0.4917173370511171,0.29188367055230197,1.2441446298644656,8.81636176590616,9.56113345491341,3,39,27
550,large,67,29034.845907182837,59.01942438154078,0.4118341446946266,0.5683192610012753,0.2455445461988774,1.249914311873379,13.019661217682527,16.505889434807987,0,56,11
600,overall,200,20737.717431030273,44.46552618980408,0.3527872048463403,0.49519200219243886,0.4158086906848637,1.2030783821853044,11.50085301902562,10.504201759730506,9,80,120
600,small,67,13855.741179964436,32.28812639037175,0.2573118615874586,0.3747820813030669,0.7301792541197699,1.2131146715333065,7.91657221845715,5.431506743129562,7,16,51
600,medium,66,19301.123505563446,42.05302024610115,0.3658046331739916,0.5179684198848011,0.3275013206693146,1.2649911744520068,10.916165713135094,9.56113345491341,2,24,42
600,large,67,29034.845907182837,59.01942438154078,0.4354394097526094,0.5931654519221716,0.18842747681751326,1.134950082693527,15.661094449277295,16.505889434807987,0,40,27
650,overall,200,20737.717431030273,44.46552618980408,0.3650244373863095,0.512925097660033,0.552042112738314,1.1602414242350139,13.71937283517084,10.504201759730506,5,35,165
650,small,67,13855.741179964436,32.28812639037175,0.26777840595127067,0.39616142292180995,0.978104808915654,1.215793267012604,9.749802337717469,5.431506743129562,5,10,57
650,medium,66,19301.123505563446,42.05302024610115,0.3770758407265835,0.534313638979335,0.4471176070364218,1.1990708729082888,13.032350945964867,9.56113345491341,0,8,58
650,large,67,29034.845907182837,59.01942438154078,0.4503989371727202,0.6086194630389445,0.2293378848643294,1.0705853367029732,18.365711163782347,16.505889434807987,0,17,50
700,overall,200,20737.717431030273,44.46552618980408,0.3706464380102279,0.5231414909013905,0.7588659762396659,1.136010175826132,16.02621316016117,10.504201759730506,3,17,182
700,small,67,13855.741179964436,32.28812639037175,0.27510671900296524,0.4123935737609968,1.2898028202999043,1.2050565039389767,11.619851608889531,5.431506743129562,3,7,60
700,medium,66,19301.123505563446,42.05302024610115,0.3813074210252568,0.5426868614346702,0.6348571730780216,1.1764285708918716,15.235518498111784,9.56113345491341,0,3,63
700,large,67,29034.845907182837,59.01942438154078,0.4556842931519398,0.614635759456762,0.3500870576819427,1.030240338907313,21.211467960615774,16.505889434807987,0,7,59
750,overall,200,20737.717431030273,44.46552618980408,0.36897453527441454,0.5239727659375975,1.00916191126423,1.1276838180392679,18.56512323597897,10.504201759730506,2,8,191
750,small,67,13855.741179964436,32.28812639037175,0.27614939597330546,0.4173190000415013,1.633742027883705,1.201052259023373,13.644677685320243,5.431506743129562,2,5,62
750,medium,66,19301.123505563446,42.05302024610115,0.3790812458914965,0.542780688383505,0.870070627962658,1.1706395733988646,17.654872875723324,9.56113345491341,0,1,65
750,large,67,29034.845907182837,59.01942438154078,0.4518438103855625,0.6120993246481713,0.5215970886433184,1.0141908550885186,24.38223332062083,16.505889434807987,0,2,64
800,overall,200,20737.717431030273,44.46552618980408,0.3588591293424452,0.5151914109082663,1.3228552329323064,1.2052494771778584,21.594212135887034,10.504201759730506,0,4,196
800,small,67,13855.741179964436,32.28812639037175,0.26747311086569786,0.4102253215393654,2.056015285606321,1.4640557857146903,16.04883193792819,5.431506743129562,0,2,65
800,medium,66,19301.123505563446,42.05302024610115,0.36868852351635883,0.5331550146525644,1.1601533890851716,1.1510666690089486,20.51582979756034,9.56113345491341,0,1,65
800,large,67,29034.845907182837,59.01942438154078,0.4405624610210086,0.6024620100215897,0.7499686383763656,0.9998172781805494,28.201879413391563,16.505889434807987,0,1,66
